Date,Open,High,Low,Close,Volume,Adj Close
2015-03-09,28.40,28.40,28.11,28.28,3707100,28.28
2015-03-06,28.80,28.90,28.22,28.24,5468600,28.24
2015-03-05,28.97,29.33,28.94,29.03,3970400,29.03
2015-03-04,29.16,29.17,28.50,28.96,9300000,28.96
2015-03-03,28.84,29.27,28.48,29.27,8481000,29.27
2015-03-02,28.34,28.91,28.26,28.87,4165300,28.87
2015-02-27,28.00,28.29,28.00,28.27,4732400,28.27
2015-02-26,27.96,28.04,27.62,28.01,6084100,28.01
2015-02-25,27.82,27.97,27.73,27.92,5519400,27.92
2015-02-24,27.88,28.00,27.68,27.79,5164400,27.79
2015-02-23,28.20,28.27,27.86,27.92,4471600,27.92
2015-02-20,28.20,28.51,28.11,28.35,3926300,28.35
2015-02-19,28.54,28.69,28.35,28.35,5193500,28.35
2015-02-18,28.35,28.67,27.89,28.54,9203700,28.54
2015-02-17,28.57,28.90,28.34,28.65,5741000,28.65
2015-02-13,28.65,28.94,28.45,28.57,6523800,28.57
2015-02-12,28.37,28.63,28.11,28.44,8340800,28.44
2015-02-11,27.47,28.69,27.42,28.16,13577400,28.16
2015-02-10,26.86,27.47,26.77,27.46,6531500,27.46
2015-02-09,26.37,26.70,26.20,26.49,4925800,26.49
2015-02-06,26.97,27.25,26.34,26.36,9324500,26.36
2015-02-05,26.31,26.87,26.31,26.87,2435000,26.87
2015-02-04,26.70,26.76,26.18,26.33,4814400,26.33
2015-02-03,26.20,26.58,26.08,26.57,3462100,26.57
2015-02-02,26.00,26.15,25.55,26.12,6298800,26.12
2015-01-30,26.20,26.40,25.93,25.97,3451200,25.97
2015-01-29,26.40,26.54,26.13,26.38,5546900,26.38
2015-01-28,26.73,26.91,26.40,26.45,6516700,26.45
2015-01-27,26.63,26.79,26.26,26.47,2871000,26.47
2015-01-26,26.57,26.94,26.49,26.91,3315800,26.91
2015-01-23,26.75,26.90,26.52,26.56,3064200,26.56
2015-01-22,26.00,26.84,25.87,26.74,5487000,26.74
2015-01-21,25.70,26.00,25.50,25.88,2429200,25.88
2015-01-20,25.88,25.94,25.47,25.78,3059200,25.78
2015-01-16,25.48,25.88,25.37,25.86,2638800,25.86
2015-01-15,25.97,26.00,25.56,25.60,2375100,25.60
2015-01-14,25.36,25.93,25.16,25.93,4027500,25.93
2015-01-13,25.96,26.25,25.34,25.65,5942500,25.65
2015-01-12,25.69,25.69,25.35,25.45,3428000,25.45
2015-01-09,25.97,26.03,25.65,25.71,4229700,25.71
2015-01-08,25.49,26.02,25.41,25.97,4306100,25.97
2015-01-07,25.17,25.37,24.92,25.27,4595300,25.27
2015-01-06,25.05,25.06,24.36,24.87,7023300,24.87
2015-01-05,25.75,25.85,25.00,25.10,4334100,25.10
2015-01-02,26.20,26.27,25.48,25.94,3676500,25.94
2014-12-31,26.11,26.44,26.07,26.09,2289100,26.09
2014-12-30,26.05,26.23,25.98,26.09,1691700,26.09
2014-12-29,26.22,26.23,25.94,26.11,2438200,26.11
2014-12-26,26.32,26.46,26.27,26.28,645500,26.28
2014-12-24,26.05,26.35,26.01,26.21,1153000,26.21
2014-12-23,26.20,26.26,26.03,26.10,3795100,26.10
2014-12-22,26.18,26.35,25.96,26.00,3734400,26.00
2014-12-19,25.94,26.20,25.74,26.18,6203600,26.18
2014-12-18,25.63,25.88,25.41,25.87,4816200,25.87
2014-12-17,24.90,25.40,24.56,25.30,6006100,25.30
2014-12-16,25.09,25.25,24.74,24.74,8849700,24.74
2014-12-15,26.04,26.13,25.26,25.32,9258400,25.32
2014-12-12,26.17,26.26,25.85,25.87,3512400,25.87
2014-12-11,26.14,26.53,26.13,26.26,3265200,26.26
2014-12-10,26.14,26.41,25.95,25.99,2988000,25.99
2014-12-09,25.97,26.27,25.59,26.23,3145100,26.23
2014-12-08,26.38,26.49,26.20,26.34,2175700,26.34
2014-12-05,26.09,26.46,26.09,26.42,4639100,26.42
2014-12-04,25.90,26.22,25.75,26.00,9241200,26.00
2014-12-03,25.51,25.98,25.49,25.94,4579800,25.94
2014-12-02,25.57,25.69,25.49,25.51,5387600,25.51
2014-12-01,26.13,26.19,25.43,25.43,5558900,25.43
2014-11-28,26.15,26.35,26.14,26.22,1541200,26.22
2014-11-26,26.12,26.18,25.91,26.02,2681200,26.02
2014-11-25,25.79,26.16,25.76,26.15,4641500,26.15
2014-11-24,25.67,25.93,25.63,25.80,4188200,25.80
2014-11-21,25.75,25.76,25.50,25.52,5633000,25.52
2014-11-20,25.47,25.56,25.11,25.45,4980000,25.45
2014-11-19,25.52,25.69,25.35,25.52,2756700,25.52
2014-11-18,25.42,25.75,25.33,25.61,3771900,25.61
2014-11-17,25.62,25.76,25.36,25.42,3218200,25.42
2014-11-14,25.40,25.82,25.23,25.81,9078700,25.81
2014-11-13,25.40,25.52,24.94,25.37,5902200,25.37
2014-11-12,25.20,25.37,24.89,25.32,4473200,25.32
2014-11-11,25.13,25.30,25.05,25.21,5919300,25.21
2014-11-10,25.01,25.18,24.92,25.14,5144900,25.14
2014-11-07,25.17,25.20,24.81,24.97,4882600,24.97
2014-11-06,25.04,25.20,24.93,25.05,7923300,25.05
2014-11-05,24.76,25.10,24.65,25.04,14979700,25.04
2014-11-04,24.67,24.81,24.40,24.60,50517400,24.60
2014-11-03,24.85,25.57,24.79,25.25,5689800,25.25
2014-10-31,25.33,25.65,24.80,25.24,7106900,25.24
2014-10-30,24.38,25.21,24.30,25.01,4308900,25.01
2014-10-29,24.48,24.77,24.30,24.56,3357100,24.56
2014-10-28,24.22,24.61,24.00,24.36,4893600,24.36
2014-10-27,24.24,24.30,23.77,24.18,1899400,24.18
2014-10-24,23.97,24.28,23.75,24.24,1562100,24.24
2014-10-23,24.36,24.46,23.87,24.04,2760300,24.04
2014-10-22,24.61,24.67,23.92,24.01,3547800,24.01
2014-10-21,24.00,24.53,23.98,24.51,4565200,24.51
2014-10-20,22.84,23.66,22.79,23.62,4764200,23.62
2014-10-17,22.41,23.23,22.41,22.81,6644800,22.81
2014-10-16,21.25,22.35,21.14,21.86,11010200,21.86
2014-10-15,21.41,22.15,20.72,21.61,11466200,21.61
2014-10-14,22.25,22.42,21.62,22.03,6173000,22.03
2014-10-13,22.83,22.89,22.01,22.04,8724600,22.04
2014-10-10,23.31,23.34,22.73,22.77,5415300,22.77
2014-10-09,24.06,24.12,23.34,23.37,4585300,23.37
2014-10-08,24.03,24.07,23.56,23.92,3699000,23.92
2014-10-07,24.00,24.20,23.85,23.98,2923500,23.98
2014-10-06,24.61,24.81,24.11,24.21,4336700,24.21
2014-10-03,24.19,24.38,24.09,24.32,1356800,24.32
2014-10-02,24.00,24.13,23.67,23.98,4383700,23.98
2014-10-01,24.54,24.60,23.73,24.00,7833700,24.00
2014-09-30,24.52,24.74,24.32,24.63,5410300,24.63
2014-09-29,24.63,24.76,24.47,24.55,2909700,24.55
2014-09-26,24.51,24.83,24.36,24.82,3872300,24.82
2014-09-25,24.67,24.68,24.39,24.50,4509500,24.50
2014-09-24,24.74,24.85,24.58,24.70,3154200,24.70
2014-09-23,24.73,24.83,24.65,24.69,4417700,24.69
2014-09-22,24.74,24.83,24.54,24.81,4511300,24.81
2014-09-19,24.81,24.85,24.58,24.75,4636300,24.75
2014-09-18,25.04,25.18,24.69,24.73,3630000,24.73
2014-09-17,24.69,25.12,24.64,25.01,5458700,25.01
2014-09-16,24.07,24.72,24.01,24.65,3902700,24.65
2014-09-15,24.40,24.48,24.09,24.13,3490400,24.13
2014-09-12,24.78,24.85,24.25,24.40,5286900,24.40
2014-09-11,24.80,25.20,24.66,24.84,6763900,24.84
2014-09-10,25.55,25.57,25.22,25.28,3606500,25.28
2014-09-09,25.60,25.78,25.40,25.51,3120400,25.51
2014-09-08,25.67,25.79,25.57,25.68,1194900,25.68
2014-09-05,25.36,25.90,25.15,25.76,3295700,25.76
2014-09-04,25.38,25.68,25.08,25.34,3269700,25.34
2014-09-03,25.56,25.64,25.22,25.28,4540000,25.28
2014-09-02,25.52,25.82,25.15,25.46,2762800,25.46
2014-08-29,25.66,25.71,25.20,25.32,10837500,25.32
2014-08-28,25.61,25.76,25.44,25.66,2809300,25.66
2014-08-27,25.67,25.92,25.64,25.76,2653100,25.76
2014-08-26,25.70,25.79,25.53,25.65,1973700,25.65
2014-08-25,25.65,25.72,25.43,25.72,2676100,25.72
2014-08-22,25.50,25.75,25.48,25.64,1943100,25.64
2014-08-21,25.40,25.64,25.37,25.54,2503300,25.54
2014-08-20,25.01,25.47,24.94,25.44,3353600,25.44
2014-08-19,25.01,25.25,24.91,25.11,2254800,25.11
2014-08-18,24.90,25.01,24.67,24.99,2201900,24.99
2014-08-15,24.87,24.95,24.39,24.67,2513200,24.67
2014-08-14,24.56,24.74,24.49,24.73,1896500,24.73
2014-08-13,24.21,24.58,24.07,24.49,2444100,24.49
2014-08-12,23.97,24.18,23.85,24.11,1415000,24.11
2014-08-11,23.95,24.26,23.85,24.06,1661000,24.06
2014-08-08,23.72,23.88,23.42,23.71,3243700,23.71
2014-08-07,23.63,23.97,23.59,23.68,4595000,23.68
2014-08-06,23.51,23.59,23.20,23.45,6017200,23.45
2014-08-05,24.12,24.20,23.50,23.72,5698300,23.72
2014-08-04,24.31,24.38,23.94,24.18,3417200,24.18
2014-08-01,24.50,24.55,23.15,24.29,9589500,24.29
2014-07-31,24.42,24.59,24.01,24.21,5578100,24.21
2014-07-30,25.15,25.32,24.44,24.68,6228000,24.68
2014-07-29,25.35,25.38,24.93,24.98,3460900,24.98
2014-07-28,25.28,25.49,25.09,25.24,2346300,25.24
2014-07-25,25.19,25.54,25.07,25.28,1888300,25.28
2014-07-24,25.50,25.82,25.24,25.29,6865700,25.29
2014-07-23,25.06,25.59,25.04,25.51,6306400,25.51
2014-07-22,24.89,25.26,24.75,25.13,4151000,25.13
2014-07-21,24.45,24.93,24.45,24.83,4887800,24.83
2014-07-18,24.24,24.57,24.14,24.55,3735700,24.55
2014-07-17,24.43,24.70,24.00,24.07,6550200,24.07
2014-07-16,24.61,24.70,24.34,24.58,2699900,24.58
2014-07-15,24.45,24.72,24.41,24.57,3936000,24.57
2014-07-14,24.56,24.84,24.40,24.46,4914100,24.46
2014-07-11,24.01,24.52,24.01,24.32,2840900,24.32
2014-07-10,24.29,24.72,24.27,24.52,3834500,24.52
2014-07-09,24.30,24.77,24.16,24.72,5812900,24.72
2014-07-08,24.40,24.41,23.99,24.19,6014900,24.19
2014-07-07,24.60,24.71,24.40,24.50,7704000,24.50
2014-07-03,23.86,24.80,23.86,24.80,11249300,24.80
2014-07-02,23.50,23.91,23.42,23.86,6773000,23.86
2014-07-01,23.29,23.72,23.24,23.63,10280900,23.63
2014-06-30,22.80,23.33,22.73,23.30,6576200,23.30
2014-06-27,22.90,23.10,22.70,22.81,14082400,22.81
2014-06-26,22.93,23.02,22.79,22.86,15539600,22.86
2014-06-25,22.90,23.28,22.78,22.96,56091900,22.96
2014-06-24,22.34,22.90,22.31,22.50,11233000,22.50
2014-06-23,22.37,22.50,22.21,22.34,3232600,22.34
2014-06-20,22.46,22.46,22.26,22.26,3375100,22.26
2014-06-19,22.38,22.58,22.30,22.33,2666000,22.33
2014-06-18,22.30,22.46,22.23,22.35,2873500,22.35
2014-06-17,22.20,22.54,22.20,22.34,2552200,22.34
2014-06-16,22.30,22.75,22.01,22.21,5363400,22.21
2014-06-13,22.45,22.55,22.17,22.29,4255300,22.29
2014-06-12,22.59,22.83,22.42,22.48,3726100,22.48
2014-06-11,22.99,23.07,22.65,22.81,7533200,22.81
2014-06-10,23.16,23.67,23.16,23.43,2774000,23.43
2014-06-09,23.28,23.45,22.94,23.29,2534800,23.29
2014-06-06,23.02,23.36,22.72,23.28,2534900,23.28
2014-06-05,22.77,23.05,22.60,23.02,1803600,23.02
2014-06-04,22.63,22.95,22.59,22.77,1366000,22.77
2014-06-03,22.68,22.91,22.44,22.71,3046400,22.71
2014-06-02,22.62,22.84,22.40,22.78,2467400,22.78
2014-05-30,22.13,22.65,22.13,22.62,2611300,22.62
2014-05-29,22.06,22.20,21.88,22.18,1504000,22.18
2014-05-28,22.32,22.53,22.00,22.01,2163200,22.01
2014-05-27,22.18,22.33,21.95,22.24,2390200,22.24
2014-05-23,22.27,22.34,22.01,22.05,1083000,22.05
2014-05-22,21.84,22.05,21.84,21.99,2056900,21.99
2014-05-21,21.50,22.00,21.45,21.85,3843000,21.85
2014-05-20,21.93,21.99,21.37,21.41,2789100,21.41
