Date,Open,High,Low,Close,Volume,Adj Close
2015-03-09,59.07,60.20,59.00,59.69,421900,59.69
2015-03-06,59.62,60.24,58.80,58.89,349800,58.89
2015-03-05,60.94,61.12,60.21,60.28,312700,60.28
2015-03-04,61.09,61.32,60.61,60.77,293500,60.77
2015-03-03,61.76,61.99,61.08,61.26,389800,61.26
2015-03-02,60.82,61.98,60.82,61.76,347300,61.76
2015-02-27,60.44,61.05,60.30,60.54,324100,60.54
2015-02-26,60.00,61.15,59.51,60.51,318700,60.51
2015-02-25,60.26,60.58,59.81,59.88,285700,59.88
2015-02-24,59.60,60.56,59.26,60.26,514700,60.26
2015-02-23,59.28,60.33,59.16,59.59,518700,59.59
2015-02-20,58.84,59.58,58.48,59.27,545400,59.27
2015-02-19,59.53,60.90,58.69,58.80,1073400,58.80
2015-02-18,57.55,59.46,57.12,58.79,1001600,58.79
2015-02-17,59.65,60.57,59.29,59.53,1259600,59.53
2015-02-13,59.58,60.08,59.18,59.51,791800,59.51
2015-02-12,60.34,60.34,59.55,59.65,749400,59.65
2015-02-11,59.92,60.38,59.42,59.77,442500,59.77
2015-02-10,58.30,60.11,58.30,59.83,703500,59.83
2015-02-09,57.25,58.30,56.88,57.04,412900,57.04
2015-02-06,56.93,57.73,56.54,56.63,320000,56.63
2015-02-05,56.72,57.38,56.60,57.11,374900,57.11
2015-02-04,56.95,57.71,56.34,56.62,598500,56.62
2015-02-03,56.33,57.65,56.10,57.45,267300,57.45
2015-02-02,56.23,56.47,55.03,55.79,358400,55.79
2015-01-30,56.75,57.07,56.05,56.26,358800,56.26
2015-01-29,56.99,57.34,56.64,57.10,299300,57.10
2015-01-28,57.94,57.98,57.10,57.10,379300,57.10
2015-01-27,57.59,57.99,57.05,57.73,222900,57.73
2015-01-26,57.90,58.25,57.61,58.05,358300,58.05
2015-01-23,58.18,58.52,57.81,58.02,240700,58.02
2015-01-22,56.86,58.65,56.44,58.14,377100,58.14
2015-01-21,56.20,57.08,55.91,56.59,335600,56.59
2015-01-20,56.09,56.87,55.66,56.38,372600,56.38
2015-01-16,56.16,56.48,55.57,56.08,408700,56.08
2015-01-15,57.18,57.45,56.32,56.34,404000,56.34
2015-01-14,57.16,57.69,56.69,57.15,363600,57.15
2015-01-13,58.72,59.20,57.58,57.75,213700,57.75
2015-01-12,58.66,58.93,57.89,58.02,197800,58.02
2015-01-09,59.12,59.12,58.07,58.56,323800,58.56
2015-01-08,58.18,59.17,58.14,58.90,483600,58.90
2015-01-07,57.40,57.88,57.08,57.69,414100,57.69
2015-01-06,58.41,58.41,56.37,56.90,830100,56.90
2015-01-05,59.08,59.10,57.69,58.16,453900,58.16
2015-01-02,60.50,60.50,58.76,59.56,310300,59.56
2014-12-31,60.54,60.81,60.18,60.21,441200,60.21
2014-12-30,60.37,60.80,60.00,60.27,388500,60.27
2014-12-29,60.41,60.97,60.04,60.62,434300,60.62
2014-12-26,60.73,60.97,60.41,60.44,75500,60.44
2014-12-24,59.97,60.92,59.97,60.52,138700,60.52
2014-12-23,59.92,60.86,59.78,59.96,464700,59.96
2014-12-22,59.77,60.48,59.70,59.81,321000,59.81
2014-12-19,59.65,60.03,59.23,59.75,399600,59.75
2014-12-18,59.81,59.95,58.90,59.33,438500,59.33
2014-12-17,57.07,58.53,56.64,58.36,295400,58.36
2014-12-16,57.28,58.51,57.00,57.02,326700,57.02
2014-12-15,57.92,58.61,57.06,57.49,299500,57.49
2014-12-12,58.61,58.84,57.64,57.67,316100,57.67
2014-12-11,58.29,59.23,57.96,58.11,179000,58.11
2014-12-10,59.26,59.62,57.90,58.18,213400,58.18
2014-12-09,59.05,59.83,58.60,59.40,376200,59.40
2014-12-08,60.21,60.67,59.53,59.88,494400,59.88
2014-12-05,58.94,60.35,58.93,59.97,642200,59.97
2014-12-04,58.23,58.99,58.01,58.82,429700,58.82
2014-12-03,57.73,58.46,57.52,58.20,314300,58.20
2014-12-02,58.04,58.65,57.79,57.79,267900,57.79
2014-12-01,58.67,58.87,57.84,57.87,353300,57.87
2014-11-28,58.87,59.18,58.68,58.93,266300,58.93
2014-11-26,58.85,59.27,58.44,58.63,259700,58.63
2014-11-25,59.17,59.27,58.73,58.97,186800,58.97
