Date,Open,High,Low,Close,Volume,Adj Close
2015-03-09,66.90,67.47,65.82,66.15,4611300,66.15
2015-03-06,67.66,68.31,66.54,66.67,2369900,66.67
2015-03-05,69.30,69.31,67.33,67.92,3902500,67.92
2015-03-04,68.37,69.13,67.59,68.67,4460400,68.67
2015-03-03,66.20,69.04,66.10,69.00,6007000,69.00
2015-03-02,65.18,67.14,65.18,66.81,4933900,66.81
2015-02-27,67.51,67.61,64.71,65.18,5814100,65.18
2015-02-26,69.63,69.70,66.39,67.42,7527400,67.42
2015-02-25,70.56,70.79,68.67,68.69,4416900,68.69
2015-02-24,67.95,71.38,67.27,70.89,5185600,70.89
2015-02-23,69.03,69.83,67.98,68.84,5117000,68.84
2015-02-20,66.09,68.28,65.52,68.01,4697100,68.01
2015-02-19,68.45,68.92,66.04,66.09,4806200,66.09
2015-02-18,65.90,66.74,64.50,66.72,4449300,66.72
2015-02-17,66.50,67.43,64.72,64.93,4447300,64.93
2015-02-13,66.11,66.59,65.39,66.23,4363900,66.23
2015-02-12,66.01,67.55,64.85,67.34,4416500,67.34
2015-02-11,68.34,68.58,66.57,67.12,4394800,67.12
2015-02-10,65.40,67.71,65.23,67.63,5488300,67.63
2015-02-09,65.70,66.67,63.76,64.57,7972300,64.57
2015-02-06,69.04,69.33,67.14,67.58,6422100,67.58
2015-02-05,71.29,71.35,68.63,69.60,5159600,69.60
2015-02-04,68.80,72.23,68.80,71.70,6394900,71.70
2015-02-03,67.30,68.97,66.70,67.97,8797300,67.97
2015-02-02,69.08,69.38,65.74,69.38,9992200,69.38
2015-01-30,72.88,73.52,68.26,69.37,8056800,69.37
2015-01-29,71.38,73.79,70.71,73.53,6116700,73.53
2015-01-28,72.68,73.80,70.41,70.77,4491000,70.77
2015-01-27,72.21,73.51,71.61,71.80,4391600,71.80
2015-01-26,72.54,74.52,72.31,73.62,5593700,73.62
2015-01-23,72.26,73.22,71.51,73.10,3810200,73.10
2015-01-22,71.00,73.20,69.82,72.34,9681200,72.34
2015-01-21,67.61,69.46,66.68,69.21,7082200,69.21
2015-01-20,67.11,68.54,65.85,68.03,9473700,68.03
2015-01-16,63.56,65.75,62.37,65.75,8142200,65.75
2015-01-15,64.28,66.03,63.72,63.83,6253400,63.83
2015-01-14,65.11,65.54,62.65,64.05,6747900,64.05
2015-01-13,66.84,68.26,65.45,66.41,6261700,66.41
2015-01-12,66.16,66.85,63.84,65.92,5245000,65.92
2015-01-09,66.76,66.97,64.90,65.34,3488100,65.34
2015-01-08,65.70,67.52,65.41,66.64,6889500,66.64
2015-01-07,64.96,66.11,64.00,65.53,5135000,65.53
2015-01-06,66.63,67.00,63.11,64.58,6051700,64.58
2015-01-05,66.87,67.35,65.50,66.15,5033400,66.15
2015-01-02,67.74,68.08,65.71,66.34,6215000,66.34
2014-12-31,66.61,67.77,65.92,66.89,4451200,66.89
2014-12-30,65.30,66.40,64.86,66.05,2644600,66.05
2014-12-29,64.60,65.52,63.87,65.22,2874300,65.22
2014-12-26,65.20,65.69,64.61,65.28,3062200,65.28
2014-12-24,63.12,65.47,63.12,64.93,2714300,64.93
2014-12-23,64.09,64.31,61.80,62.48,4957800,62.48
2014-12-22,64.61,65.99,63.78,64.00,4114400,64.00
2014-12-19,63.42,64.79,63.03,64.14,5102100,64.14
2014-12-18,63.52,64.60,62.00,64.25,5512900,64.25
2014-12-17,62.07,63.43,59.65,62.85,8608400,62.85
2014-12-16,64.85,65.04,61.56,61.63,6408000,61.63
2014-12-15,64.19,64.84,62.42,64.04,6773600,64.04
2014-12-12,67.31,67.40,63.77,64.10,8168700,64.10
2014-12-11,64.44,66.50,64.38,65.80,6767600,65.80
2014-12-10,64.24,66.35,63.37,63.69,8788400,63.69
2014-12-09,61.64,63.34,61.11,62.52,9159900,62.52
2014-12-08,63.19,64.94,62.84,64.25,5467000,64.25
2014-12-05,62.58,64.98,61.95,63.03,8157000,63.03
2014-12-04,61.81,63.15,61.19,61.75,8908200,61.75
2014-12-03,59.53,60.21,57.89,59.29,4098400,59.29
2014-12-02,59.99,60.76,58.12,59.38,5576300,59.38
2014-12-01,61.00,61.21,58.97,59.57,5294200,59.57
2014-11-28,59.64,61.93,59.01,61.23,8699400,61.23
2014-11-26,56.53,56.80,56.24,56.60,3548800,56.60
2014-11-25,55.68,56.77,55.11,56.25,6844000,56.25
2014-11-24,56.13,56.50,55.25,55.91,3793900,55.91
2014-11-21,56.59,56.63,54.61,55.33,5273700,55.33
2014-11-20,56.79,57.64,56.04,56.39,4670800,56.39
2014-11-19,57.45,58.27,56.47,57.54,3836500,57.54
2014-11-18,56.23,58.86,56.04,58.29,6590700,58.29
2014-11-17,56.08,57.00,55.86,55.99,4927400,55.99
2014-11-14,56.25,57.20,55.73,56.10,5260500,56.10
2014-11-13,54.79,56.79,54.68,56.76,6222900,56.76
2014-11-12,54.28,54.74,53.56,54.60,3119900,54.60
2014-11-11,54.77,55.25,54.24,54.66,3632500,54.66
2014-11-10,53.70,54.96,53.26,54.83,3902100,54.83
2014-11-07,55.43,55.84,53.87,54.18,5311400,54.18
2014-11-06,54.85,56.47,54.60,55.66,6666700,55.66
2014-11-05,55.58,55.65,53.77,54.11,3868100,54.11
2014-11-04,54.99,56.90,54.97,55.21,7707500,55.21
2014-11-03,52.95,54.46,52.81,54.28,4787300,54.28
2014-10-31,52.94,53.65,52.44,52.81,6389900,52.81
2014-10-30,52.18,52.43,51.37,51.74,3915500,51.74
2014-10-29,52.31,52.74,51.54,52.26,5327900,52.26
2014-10-28,51.96,53.26,51.13,52.36,8493900,52.36
2014-10-27,49.64,51.84,49.26,51.73,10247200,51.73
2014-10-24,49.32,50.22,48.15,49.62,7255600,49.62
2014-10-23,46.66,50.55,46.66,49.42,15770500,49.42
2014-10-22,49.68,49.94,48.83,49.06,7620900,49.06
2014-10-21,48.13,50.00,48.07,49.51,9314000,49.51
2014-10-20,45.65,47.63,45.23,47.29,8639600,47.29
2014-10-17,44.25,45.45,43.97,44.68,4644000,44.68
2014-10-16,41.40,44.44,41.36,43.77,10699200,43.77
2014-10-15,40.48,44.19,39.79,42.55,15803300,42.55
2014-10-14,41.63,43.87,41.42,43.17,10138500,43.17
2014-10-13,44.08,44.21,39.46,40.55,14869500,40.55
2014-10-10,44.89,45.71,42.86,43.74,7869600,43.74
2014-10-09,46.20,47.18,44.46,45.04,15993400,45.04
2014-10-08,45.97,46.00,42.86,43.83,10650900,43.83
2014-10-07,46.63,46.81,45.36,45.49,5872100,45.49
2014-10-06,48.34,48.80,46.89,46.94,5318400,46.94
2014-10-03,46.93,48.85,46.93,48.28,6526600,48.28
2014-10-02,45.80,46.94,45.27,46.13,5260700,46.13
2014-10-01,45.62,46.15,44.37,45.47,10629300,45.47
2014-09-30,46.76,47.26,45.72,46.79,5221900,46.79
2014-09-29,46.68,47.22,46.27,46.75,3585400,46.75
2014-09-26,47.06,47.48,46.65,47.33,2837700,47.33
2014-09-25,47.96,47.96,46.43,47.01,5666300,47.01
2014-09-24,48.15,48.75,47.89,48.20,3987500,48.20
2014-09-23,47.73,48.76,47.00,48.25,4098800,48.25
2014-09-22,49.47,49.47,47.54,47.79,4804800,47.79
2014-09-19,50.02,50.18,49.22,49.38,5738500,49.38
2014-09-18,49.00,50.05,48.47,49.90,3552300,49.90
2014-09-17,49.84,50.63,48.72,48.93,5042600,48.93
2014-09-16,49.27,49.96,48.44,49.54,4920900,49.54
2014-09-15,50.41,50.50,49.17,49.56,4064800,49.56
2014-09-12,51.04,51.48,50.37,50.41,5294800,50.41
2014-09-11,52.00,52.41,50.60,51.03,5888900,51.03
2014-09-10,51.00,51.90,50.56,51.74,4671400,51.74
2014-09-09,50.90,52.45,50.50,50.84,6348800,50.84
2014-09-08,51.13,51.74,50.86,51.13,5489500,51.13
2014-09-05,50.29,51.70,49.83,50.73,6309200,50.73
2014-09-04,49.27,50.86,48.80,50.42,5688300,50.42
2014-09-03,48.74,49.15,48.20,49.03,5439400,49.03
2014-09-02,48.00,50.00,48.00,49.99,6237800,49.99
2014-08-29,48.15,48.41,47.23,47.61,4096000,47.61
2014-08-28,47.83,48.50,47.52,48.32,2203700,48.32
2014-08-27,48.18,48.75,47.92,48.22,2438100,48.22
2014-08-26,48.65,48.82,48.08,48.22,2270200,48.22
2014-08-25,48.80,49.00,48.08,48.51,3591100,48.51
2014-08-22,48.19,48.85,48.00,48.46,3380700,48.46
2014-08-21,49.45,49.52,47.83,48.01,5271500,48.01
2014-08-20,47.98,49.36,47.81,49.25,4813800,49.25
2014-08-19,47.80,48.32,47.42,47.68,5411500,47.68
2014-08-18,46.40,47.89,46.32,47.84,5664900,47.84
2014-08-15,46.00,46.40,44.99,46.01,5649100,46.01
2014-08-14,44.15,45.94,44.15,45.92,5620900,45.92
2014-08-13,43.09,44.66,42.71,44.11,4069800,44.11
2014-08-12,43.41,43.64,42.60,42.80,4529100,42.80
2014-08-11,43.41,43.75,42.75,43.12,4971500,43.12
2014-08-08,43.23,43.23,41.93,42.95,6789000,42.95
2014-08-07,44.09,44.72,42.71,43.26,5836500,43.26
2014-08-06,43.55,44.24,42.66,43.89,5368700,43.89
2014-08-05,45.68,46.17,43.50,43.94,8486300,43.94
2014-08-04,46.68,47.39,44.95,45.50,5029500,45.50
2014-08-01,46.50,46.77,45.63,46.73,3360900,46.73
2014-07-31,46.04,47.22,45.45,46.39,5015500,46.39
2014-07-30,47.43,47.74,46.15,46.97,7006100,46.97
2014-07-29,46.77,46.90,45.75,45.84,4900100,45.84
2014-07-28,46.80,47.29,45.88,46.55,5312900,46.55
2014-07-25,45.52,47.99,45.22,46.78,11748200,46.78
2014-07-24,48.93,49.28,44.55,44.92,14792900,44.92
2014-07-23,44.75,46.32,44.60,46.00,7820700,46.00
2014-07-22,44.09,45.10,43.96,44.82,3545700,44.82
2014-07-21,44.25,44.27,43.55,43.79,2590700,43.79
2014-07-18,43.76,44.59,43.65,44.25,5226100,44.25
2014-07-17,44.68,45.33,42.96,43.35,8266200,43.35
2014-07-16,45.35,45.59,44.74,44.90,3880400,44.90
2014-07-15,45.24,45.90,44.89,45.22,5158400,45.22
2014-07-14,45.73,45.83,44.82,44.92,5269100,44.92
2014-07-11,44.96,45.81,44.66,45.70,7650600,45.70
2014-07-10,41.60,45.26,41.20,45.17,20815900,45.17
2014-07-09,40.55,40.98,39.24,40.07,7504500,40.07
2014-07-08,37.44,39.78,36.65,39.54,15925200,39.54
2014-07-07,39.87,40.01,38.08,38.62,8454700,38.62
2014-07-03,39.55,40.49,39.55,39.88,4290700,39.88
2014-07-02,40.89,40.99,39.22,39.27,12841200,39.27
2014-07-01,41.74,42.40,41.31,42.26,6201000,42.26
2014-06-30,41.62,42.19,41.00,41.07,4453000,41.07
2014-06-27,41.60,42.08,41.04,41.49,4881500,41.49
2014-06-26,41.49,42.23,41.04,41.51,6673100,41.51
2014-06-25,41.58,42.21,40.74,41.81,5060000,41.81
2014-06-24,43.15,43.59,41.59,41.79,6871400,41.79
2014-06-23,43.64,43.66,42.25,43.15,5024000,43.15
2014-06-20,43.80,44.18,43.50,43.66,4864900,43.66
2014-06-19,44.24,44.70,43.13,43.63,3676700,43.63
2014-06-18,43.82,43.90,43.01,43.76,5034900,43.76
2014-06-17,42.58,44.05,42.40,43.92,6882900,43.92
2014-06-16,42.49,42.77,41.76,42.53,6974500,42.53
2014-06-13,42.65,43.37,41.91,42.78,10900500,42.78
2014-06-12,44.02,44.13,41.60,42.60,17072500,42.60
2014-06-11,46.99,47.27,44.92,45.26,9453100,45.26
2014-06-10,46.26,47.90,45.50,47.76,6683600,47.76
2014-06-09,47.60,48.13,46.18,46.38,7622000,46.38
2014-06-06,47.25,48.13,47.15,48.05,4178200,48.05
2014-06-05,46.93,47.69,46.83,47.00,4454800,47.00
2014-06-04,47.40,48.06,46.28,46.87,10944600,46.87
2014-06-03,46.63,47.75,46.50,47.51,7507000,47.51
