Date,Open,High,Low,Close,Volume,Adj Close
2015-03-13,100.550003,100.760002,99.099998,99.879997,783500,99.317987
2015-03-12,99.419998,100.769997,99.139999,100.599998,998600,100.033937
2015-03-11,98.910004,99.43,98.269997,99.120003,1311400,98.562269
2015-03-10,99.589996,99.720001,98.510002,98.519997,1406900,97.965639
2015-03-09,99.650002,100.690002,99.650002,100.010002,1447100,99.44726
2015-03-06,101.739998,101.870003,99.290001,99.650002,1266000,99.089285
2015-03-05,101.910004,102.580002,101.690002,102.349998,891300,101.77409
2015-03-04,102.099998,102.32,101.050003,101.529999,832500,100.958704
2015-03-03,102.629997,102.900002,102.00,102.550003,769800,101.972969
2015-03-02,103.779999,104.199997,102.349998,102.660004,1124400,102.08235
2015-02-27,103.650002,104.32,103.419998,103.779999,1100600,103.196044
2015-02-26,104.540001,104.540001,103.370003,103.629997,1768000,103.046886
2015-02-25,105.50,105.830002,104.160004,104.330002,1428500,103.742952
2015-02-24,105.559998,106.059998,104.639999,105.739998,1233300,105.145014
2015-02-23,106.089996,106.480003,105.199997,105.970001,1141300,105.373723
2015-02-20,106.040001,107.57,105.459999,107.239998,1483700,106.104587
2015-02-19,106.970001,107.309998,105.419998,105.949997,1447900,104.828244
2015-02-18,105.910004,107.00,105.519997,106.949997,1267100,105.817656
2015-02-17,105.889999,106.309998,105.00,105.910004,1105100,104.788674
2015-02-13,106.089996,106.510002,105.720001,106.019997,1122100,104.897502
2015-02-12,105.959999,106.669998,105.379997,106.660004,1043600,105.530733
2015-02-11,106.07,106.449997,104.989998,106.169998,781400,105.045916
2015-02-10,105.610001,106.220001,104.989998,105.879997,793700,104.758985
2015-02-09,105.040001,105.970001,104.809998,104.949997,879500,103.838831
2015-02-06,105.559998,106.410004,105.190002,105.529999,1101800,104.412692
2015-02-05,105.93,106.339996,105.089996,105.809998,886600,104.689726
2015-02-04,104.559998,106.480003,104.559998,105.699997,1555400,104.580891
2015-02-03,104.199997,104.779999,103.709999,104.699997,1264300,103.591478
2015-02-02,102.00,104.160004,101.559998,104.059998,1624700,102.958255
2015-01-30,102.339996,103.559998,101.800003,102.209999,3111800,101.127843
2015-01-29,101.919998,103.410004,98.730003,103.290001,6049100,102.19641
2015-01-28,109.18,110.220001,107.389999,107.68,1431300,106.53993
2015-01-27,106.910004,109.779999,106.910004,109.18,1071400,108.024049
2015-01-26,108.57,109.400002,108.160004,109.330002,808500,108.172462
2015-01-23,108.730003,109.32,108.150002,108.620003,1556900,107.469981
2015-01-22,110.349998,110.989998,109.260002,110.779999,1151900,109.607107
2015-01-21,108.959999,110.379997,108.709999,110.199997,1320600,109.033246
2015-01-20,111.00,111.349998,109.459999,110.379997,1148700,109.211341
2015-01-16,108.959999,110.75,108.910004,110.660004,2532200,109.488383
2015-01-15,107.019997,109.110001,107.019997,108.459999,1516400,107.311671
2015-01-14,106.290001,107.18,106.139999,107.019997,1499500,105.886915
2015-01-13,106.440002,107.110001,106.019997,106.669998,1414400,105.540622
2015-01-12,106.449997,106.720001,105.330002,105.43,1123400,104.313752
2015-01-09,107.300003,107.32,106.199997,106.410004,747500,105.28338
2015-01-08,105.93,107.50,105.510002,107.169998,1245800,106.035328
2015-01-07,104.199997,105.489998,103.830002,105.139999,1020600,104.026822
2015-01-06,103.349998,104.300003,102.900002,103.32,1241200,102.226092
2015-01-05,103.150002,104.00,102.50,102.980003,857800,101.889695
2015-01-02,104.330002,104.589996,102.93,103.709999,786500,102.611962
2014-12-31,105.730003,105.870003,103.82,103.93,643500,102.829634
2014-12-30,105.940002,106.339996,105.370003,105.650002,579100,104.531424
2014-12-29,106.290001,106.489998,105.639999,106.32,483700,105.194329
2014-12-26,106.370003,106.730003,106.129997,106.410004,515600,105.28338
2014-12-24,106.629997,106.809998,106.050003,106.279999,537500,105.154752
2014-12-23,105.900002,107.00,105.150002,106.639999,1249600,105.510941
2014-12-22,105.389999,105.75,104.480003,105.010002,1074500,103.898201
2014-12-19,104.269997,105.68,103.959999,105.269997,2689700,104.155443
2014-12-18,100.800003,103.779999,100.800003,103.779999,1656300,102.68122
2014-12-17,98.470001,100.459999,98.010002,100.330002,1053800,99.267751
2014-12-16,98.470001,99.419998,97.699997,97.940002,812400,96.903056
2014-12-15,99.00,99.32,98.269997,98.529999,887300,97.486805
2014-12-12,99.410004,100.040001,98.489998,98.519997,860200,97.476909
2014-12-11,98.760002,100.669998,98.699997,99.580002,1307100,98.525691
2014-12-10,99.00,99.550003,98.440002,98.580002,753600,97.536279
2014-12-09,99.040001,99.620003,98.389999,99.00,726200,97.95183
2014-12-08,99.800003,100.269997,99.300003,99.620003,578700,98.565269
2014-12-05,99.550003,99.900002,99.309998,99.800003,574400,98.743363
2014-12-04,99.760002,99.919998,98.980003,99.620003,1029800,98.565269
2014-12-03,100.410004,100.470001,99.440002,99.889999,691600,98.832407
2014-12-02,100.019997,100.650002,99.830002,100.470001,870500,99.406268
2014-12-01,100.239998,101.099998,99.860001,100.199997,1465500,99.139122
2014-11-28,98.989998,100.449997,98.510002,100.279999,931300,99.218277
2014-11-26,96.989998,98.68,96.989998,98.580002,1511000,97.536279
2014-11-25,96.379997,97.459999,96.230003,96.93,1771900,95.903747
2014-11-24,96.449997,96.639999,95.989998,96.510002,1016200,95.488195
2014-11-21,95.440002,96.300003,95.269997,96.290001,1318500,95.270523
2014-11-20,95.800003,96.139999,95.190002,95.290001,961300,93.751772
2014-11-19,96.209999,96.50,95.300003,96.040001,1314500,94.489665
