Date,Open,High,Low,Close,Volume,Adj Close
2015-03-09,62.55,62.87,62.38,62.60,1613800,62.60
2015-03-06,63.64,63.77,62.26,62.47,2806100,62.47
2015-03-05,64.72,64.93,63.81,64.05,2680000,64.05
2015-03-04,64.45,64.90,64.27,64.72,5142700,64.72
2015-03-03,64.04,64.82,63.68,64.76,2825800,64.27
2015-03-02,64.37,64.71,64.15,64.29,1274100,63.80
2015-02-27,64.52,65.03,64.46,64.48,2067500,63.99
2015-02-26,64.75,64.94,64.53,64.67,2219200,64.18
2015-02-25,64.03,64.98,63.91,64.78,2253300,64.29
2015-02-24,63.97,64.24,63.47,64.03,1879900,63.55
2015-02-23,63.93,64.40,63.75,64.29,1851800,63.80
2015-02-20,63.74,64.39,63.50,64.09,1550300,63.61
2015-02-19,63.66,64.17,63.56,63.79,2395300,63.31
2015-02-18,62.86,63.98,62.78,63.79,2179300,63.31
2015-02-17,62.84,63.39,62.33,63.21,2788800,62.73
2015-02-13,62.60,63.30,61.82,63.20,4007500,62.72
2015-02-12,62.87,64.30,62.49,63.30,5481700,62.82
2015-02-11,66.41,66.78,65.98,66.30,1272700,65.80
2015-02-10,66.15,66.53,65.90,66.31,1442900,65.81
2015-02-09,66.06,66.49,65.70,65.80,1526100,65.30
2015-02-06,66.74,66.85,65.98,66.25,1796500,65.75
2015-02-05,67.10,67.18,66.66,67.03,1306500,66.52
2015-02-04,66.56,67.32,66.39,66.64,1520300,66.14
2015-02-03,66.73,66.97,66.27,66.65,1458200,66.15
2015-02-02,65.65,66.50,65.01,66.47,1388900,65.97
2015-01-30,67.06,67.15,65.49,65.58,2828800,65.08
2015-01-29,67.28,67.45,66.29,67.34,1896100,66.83
2015-01-28,68.63,68.86,67.29,67.38,1712700,66.87
2015-01-27,68.29,68.86,68.06,68.43,1346300,67.91
2015-01-26,69.08,69.08,68.19,68.88,1431500,68.36
2015-01-23,69.44,69.46,68.62,68.68,2104800,68.16
2015-01-22,69.19,69.89,68.96,69.84,2258500,69.31
2015-01-21,68.71,69.15,68.28,69.03,5279500,68.51
2015-01-20,68.17,69.01,67.79,68.97,2512900,68.45
2015-01-16,67.52,68.30,67.50,68.12,2242600,67.60
2015-01-15,66.73,68.29,66.73,67.74,2281900,67.23
2015-01-14,65.63,66.89,65.28,66.73,2631200,66.23
2015-01-13,65.95,66.57,65.42,65.97,1374200,65.47
2015-01-12,65.98,66.45,65.36,65.48,1361800,64.98
2015-01-09,67.15,67.15,66.34,66.43,1350900,65.93
2015-01-08,66.48,67.25,66.37,67.21,1422800,66.70
2015-01-07,65.10,66.09,65.07,66.01,1683400,65.51
2015-01-06,64.53,65.09,64.21,64.45,2198100,63.96
2015-01-05,65.24,65.37,64.14,64.26,1360200,63.77
2015-01-02,65.63,66.14,65.09,65.48,846800,64.98
2014-12-31,66.31,66.72,65.34,65.44,1266100,64.94
2014-12-30,66.87,67.05,66.58,66.62,460600,66.12
2014-12-29,66.90,67.25,66.56,66.96,581000,66.45
2014-12-26,67.08,67.24,66.90,67.01,378400,66.50
2014-12-24,67.34,67.35,67.02,67.02,376200,66.51
2014-12-23,66.94,67.44,66.75,67.24,923300,66.73
2014-12-22,66.75,67.03,66.48,66.85,1302300,66.34
2014-12-19,66.26,67.11,65.94,66.82,2510100,66.31
2014-12-18,65.39,66.05,65.39,66.02,1817800,65.52
2014-12-17,64.45,65.05,63.67,64.84,1615400,64.35
2014-12-16,64.15,65.62,64.01,64.10,1695200,63.61
2014-12-15,65.80,65.82,64.02,64.09,2602600,63.61
2014-12-12,66.70,66.96,65.60,65.63,2100700,65.13
2014-12-11,65.36,67.40,65.06,67.10,3847300,66.59
2014-12-10,65.72,66.07,64.74,64.79,1555700,64.30
2014-12-09,65.90,66.26,65.55,65.82,2234900,65.32
2014-12-08,66.34,66.43,65.87,66.08,1891400,65.58
2014-12-05,65.99,66.40,65.89,66.40,1146700,65.90
2014-12-04,66.36,66.39,65.78,66.09,2158200,65.59
2014-12-03,66.41,66.62,66.04,66.38,1774800,65.88
2014-12-02,66.10,66.74,66.07,66.58,2486800,66.08
2014-12-01,65.85,66.46,65.80,66.09,1628900,65.59
2014-11-28,65.24,66.31,65.24,66.25,1476400,65.75
2014-11-26,64.81,65.00,64.70,64.93,1382300,64.44
2014-11-25,65.06,65.49,65.00,65.14,1267500,64.16
2014-11-24,65.61,65.74,64.98,65.12,1667500,64.14
2014-11-21,66.23,66.64,65.29,65.47,3784900,64.49
2014-11-20,65.60,66.20,65.46,65.64,1683200,64.65
2014-11-19,65.63,65.98,65.38,65.89,2128800,64.90
2014-11-18,65.20,66.19,65.11,65.60,2805000,64.61
2014-11-17,63.99,65.16,63.91,65.14,2046500,64.16
2014-11-14,63.80,64.02,63.64,63.81,1025500,62.85
2014-11-13,63.56,63.98,63.56,63.80,1033000,62.84
2014-11-12,63.38,63.73,63.15,63.68,1377400,62.72
2014-11-11,64.00,64.04,63.58,63.75,899200,62.79
2014-11-10,63.57,63.99,63.13,63.90,1719500,62.94
2014-11-07,63.73,63.83,63.10,63.66,2308200,62.70
