Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.01,14,0.0186,27,0.0137,17
0.0133,18,0.025,39,0.0187,25
0.0088,12,0.018,30,0.0095,11
0.0115,16,0.0203,33,0.0217,19
0.0069,8,0.0178,25,0.0123,13
0.0077,11,0.0151,24,0.0092,13
0.0049,7,0.0153,22,0.0192,19
0.007,10,0.0194,33,0.0156,17
0.0082,12,0.0146,26,0.0166,13
0.0074,11,0.0207,30,0.018,14
0.0071,10,0.0135,22,0.0074,11
0.0069,10,0.012,17,0.0147,12
0.0011,2,0.0078,13,0.0118,10
0.0038,5,0.0116,18,0.0202,11
0.0063,8,0.0115,15,0.0214,17
0.0034,5,0.0137,20,0.0153,13
0.0043,5,0.0094,16,0.019,18
0.0038,5,0.0111,18,0.0131,13
0.0017,2,0.0121,18,0.0156,14
0.0018,3,0.0102,17,0.0269,18
0.0058,8,0.0131,19,0.0119,11
0.0016,2,0.0082,11,0.0095,12
0.003,3,0.0075,12,0.0174,18
0.0024,4,0.0094,17,0.0069,8
0.0014,2,0.017,17,0.0232,13
0.004,5,0.0079,11,0.0117,12
0,0,0.0072,12,0.0142,10
0.0016,2,0.011,15,0.0123,10
0.0013,2,0.0027,5,0.0077,8
0.0013,2,0.0049,9,0.0103,12
0.018,8,0.0187,14,0.0321,23
0,0,0.0074,10,0.0162,10
0.0024,4,0.0107,16,0.0151,8
0.0037,4,0.0037,6,0.0108,12
0.0042,6,0.0165,17,0.0065,7
0.0024,3,0.0068,11,0.0068,7
0.0012,2,0.0087,15,0.0117,10
0.002,3,0.0085,10,0.0164,9
0.0028,4,0.0069,9,0.0147,12
0.0034,4,0.0052,7,0.0196,9
0.0016,2,0.0069,12,0.0066,6
0.0007,1,0.0046,8,0.0124,8
0.0021,3,0.004,6,0.0119,9
0.0023,3,0.0129,17,0.0085,7
0.0016,2,0.0056,7,0.0094,7
0.0036,5,0.0118,14,0.0112,10
0.0017,2,0.0063,6,0.023,11
0.0013,2,0.009,12,0.0132,10
0.0007,1,0.0082,10,0.0118,9
0.002,3,0.0043,7,0.0113,9
0.0046,7,0.0121,15,0.0091,7
0.002,3,0.0091,13,0.0085,5
0.0019,3,0.0158,20,0.0143,7
0.0021,3,0.0083,10,0.0123,10
0.0022,3,0.0163,13,0.0123,9
0.0038,5,0.0183,21,0.0182,13
0.0072,9,0.0147,20,0.0231,15
0.0052,7,0.0164,22,0.0277,20
0.004,5,0.016,22,0.0157,9
0.0038,5,0.0093,14,0.035,16
0.0031,4,0.0129,20,0.0124,10
0.0056,7,0.0137,19,0.0196,14
0.0106,13,0.0221,30,0.0416,23
0.0112,13,0.0199,28,0.0304,22
0.0146,18,0.0273,36,0.0235,17
0.012,17,0.027,37,0.0256,22
0.0114,15,0.0286,38,0.032,24
0.0213,27,0.0436,59,0.0252,21
0.014,19,0.0313,47,0.0296,26
0.0263,35,0.0362,56,0.0336,30
0.0239,33,0.0348,50,0.0295,26
0.0279,38,0.0332,49,0.0257,24
0.0222,27,0.0332,52,0.0404,29
0.0284,37,0.0371,57,0.0358,27
0.0332,45,0.0434,58,0.0365,39
0.0489,67,0.0504,74,0.0553,44
0.0404,56,0.0485,70,0.0411,47
0.0568,76,0.0507,80,0.0542,46
0.0502,69,0.0573,79,0.0494,49
0.0679,96,0.0619,91,0.061,45
0.073,99,0.0601,88,0.0477,46
0.0604,84,0.061,86,0.0507,42
0.073,100,0.0636,98,0.0497,43
0.0566,80,0.0638,92,0.0512,46
0.069,94,0.0621,95,0.0497,43
0.0698,93,0.0582,78,0.0447,45
0.0789,108,0.0819,113,0.0525,54
0.1003,130,0.0732,108,0.0506,56
0.1095,139,0.0896,126,0.0649,65
0.1007,135,0.0679,106,0.0667,68
0.1233,161,0.0933,133,0.062,72
0.1249,162,0.094,139,0.0603,65
0.1144,159,0.0852,118,0.0664,75
0.1212,164,0.0852,130,0.0654,72
0.1077,147,0.0767,113,0.0615,64
0.1164,155,0.0785,112,0.0587,67
0.0697,99,0.0726,111,0.056,55
0.0883,124,0.0674,105,0.0596,60
0.1022,143,0.0761,112,0.0596,64
0.0825,117,0.07,103,0.056,68
0.08,116,0.0708,104,0.057,57
0.0925,129,0.0747,112,0.0483,55
0.0595,86,0.0688,107,0.062,63
0.0814,117,0.0627,94,0.0584,61
0.0833,113,0.0737,107,0.0544,62
0.0738,102,0.063,96,0.0454,48
0.0636,94,0.0726,99,0.052,49
0.0759,108,0.0655,94,0.0544,60
0.0519,71,0.0563,80,0.0537,57
0.0411,57,0.0558,86,0.0423,53
0.0518,76,0.0647,91,0.038,39
0.0622,89,0.0651,92,0.0657,69
0.0669,93,0.0632,97,0.0578,69
0.0474,68,0.059,92,0.056,52
0.0599,86,0.0543,81,0.0435,54
0.0508,74,0.068,103,0.0496,60
0.0495,73,0.0625,97,0.0411,47
0.0658,94,0.0668,103,0.0501,50
0.0596,81,0.0686,98,0.0599,53
0.0582,83,0.0648,98,0.0505,49
0.0523,73,0.0542,82,0.0523,51
0.0643,91,0.0696,103,0.058,53
0.0551,78,0.0671,98,0.057,59
0.064,91,0.0693,100,0.0667,62
0.0677,92,0.0698,96,0.0617,60
0.0671,93,0.0715,104,0.0589,61
0.0678,91,0.0681,99,0.0447,57
0.0673,93,0.0741,116,0.0612,63
0.0781,112,0.0773,118,0.056,58
0.0722,100,0.0848,127,0.0758,72
0.0656,91,0.067,98,0.052,52
0.0603,82,0.0697,101,0.0578,70
0.0731,99,0.0744,106,0.0632,59
